oid_ktovet,id_ktovet,k_rechov,t_rechov,ms_bayit,knisa,t_bayit_veknisa,t_ktovet_melea,x,y,ms_gush,ms_chelka,k_status_hesder,UniqueId,lon,lat,date_import,garbage,cleaning,gezem,recycle_blue,recycle_orange,t_rechov_eng,Longitude,Latitude
1464,81423,500,ברנדיס,4, ,4 ,ברנדיס 4 ,180072.46,666520.03,6212,935,0,527-81423,34.78724,32.091307,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,"א,ו",ג,BRANDEIS,34.78723964464344,32.091309015634266
1465,74040,196,סוקולוב,67, ,67 ,סוקולוב 67 ,179191.74,666513.31,6956,39,0,527-74040,34.777911,32.091217,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,"ב,ו",ב,SOKOLOV,34.777910503845725,32.09121736333371
1466,65883,25,בן יהודה,191, ,191 ,בן יהודה 191 ,178839.48,666508.34,6960,60,0,527-65883,34.774179,32.09116,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ו,"ב,ג",BEN-YEHUDA,34.774179298870905,32.09115994024961
1467,75207,235,עמדן יעקב,6, ,6 ,עמדן יעקב 6 ,179279.88,666497.31,6957,147,0,527-75207,34.778845,32.091076,13/03/2026 00:44:42,"א, ג, ה",כל יום,בימים א' ו- ג' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת עובדיה מברטנורה 8,ב,ב,AMDAN,34.77884491598246,32.09107621989399
1468,75182,233,"השל""ה",9, ,9 ,"השל""ה 9 ",179320.02,666495.2,6957,145,0,527-75182,34.77927,32.091058,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ב,ב,HASHLAH,34.779270124437616,32.09105862614293
1469,117317,27,הירקון,238, ,238 ,הירקון 238 ,178720.31,666487.92,6960,175,0,527-117317,34.772918,32.090972,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים א' ו- ג' 06:00 - 18:00,ו,ג,HAYARKON,34.77291787775851,32.09097148854092
1470,74678,206,הבשן,4, ,4 ,הבשן 4 ,179534.43,666475.5,6214,37,0,527-74678,34.781542,32.090888,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ב,ב,HABASHAN,34.781542197323574,32.09088855055638
1471,75300,240,מוצקין,3, ,3 ,מוצקין 3 ,178885.42,666353.28,6960,111,0,527-75300,34.774672,32.089763,13/03/2026 00:44:42,"א, ג, ה",כל יום,בימים א' ו- ג' 06:00 - 18:00,ו,"ד,ה",MOTZKIN,34.774672451329714,32.08976328288187
1472,75764,261,ארבע ארצות,39, ,39 ,ארבע ארצות 39 ,179239.39,666346.33,6214,366,0,527-75764,34.778422,32.089713,13/03/2026 00:44:42,"א, ג, ה",כל יום,בימים א' ו- ג' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת בזל 28,"א,ב,ו","ב,ה",ARBA ARATSOT,34.77842230553609,32.08971324476459
1473,130557,196,סוקולוב,43, ,43 ,סוקולוב 43 ,179167.89,666339.06,6956,139,0,527-130557,34.777665,32.089645,13/03/2026 00:44:42,"א, ג, ה",כל יום,בימים א' ו- ג' 06:00 - 18:00,"ב,ו",ב,SOKOLOV,34.77766523326341,32.08964517588884
1474,81261,496,אבן גבירול,152, ,152 ,אבן גבירול 152 ,179653.28,666332.64,6213,61,0,527-81261,34.782807,32.089603,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,"א,ב,ו","ב,ד",IBN GVIROL,34.782807086882194,32.08960448022569
1475,75446,247,גריזים,1, ,1 ,גריזים 1 ,179031.47,666324.83,6956,164,0,527-75446,34.776221,32.089512,13/03/2026 00:44:42,"א, ג, ה",כל יום,בימים א' ו- ג' 06:00 - 18:00,ו,"ב,ד,ה",GRIZIM,34.776220760364055,32.089511939276406
1476,74010,196,סוקולוב,36, ,36 ,סוקולוב 36 ,179188.68,666318.92,6214,358,0,527-74010,34.777886,32.089464,13/03/2026 00:44:42,"א, ג, ה",כל יום,בימים א' ו- ג' 06:00 - 18:00,"א,ב,ו",ה,SOKOLOV,34.777886289110945,32.08946429522146
1477,81259,496,אבן גבירול,150, ,150 ,אבן גבירול 150 ,179650.71,666314.34,6213,62,0,527-81259,34.782781,32.089438,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ו,ב,IBN GVIROL,34.782780617120046,32.08943939324686
1478,96153,1092,חיותמן,2, ,2 ,חיותמן 2 ,180456.22,666309.97,6213,1084,0,527-96153,34.791313,32.089426,13/03/2026 00:44:42,"ב, ד, ו","ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת עקיבא אריה 17,לא קיים פינוי,לא קיים פינוי,YITZHAK HAYOTMAN,34.791313269834,32.08942804908079
1479,74011,196,סוקולוב,37, ,37 ,סוקולוב 37 ,179159.38,666297.7,6956,136,0,527-74011,34.777577,32.089272,13/03/2026 00:44:42,"א, ג, ה",כל יום,בימים א' ו- ג' 06:00 - 18:00,ו,"ד,ה",SOKOLOV,34.77757676406533,32.089271905573234
1480,96684,1190,ליפסקי לואי,14, ,14 ,ליפסקי לואי 14 ,180157.13,666294.61,6213,1256,0,527-96684,34.788146,32.089278,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,א,ד,LOUIS LIPSKY,34.78814569734179,32.08927917230174
1481,75906,269,הפרדס,9, ,9 ,הפרדס 9 ,179454.43,665746.2,6215,294,0,527-75906,34.780725,32.084308,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,א,ד,HAPARDES,34.78072511585799,32.084309121753385
1482,82978,545,אנטוקולסקי,19, ,19 ,אנטוקולסקי 19 ,179733.1,665740.7,6217,456,0,527-82978,34.783677,32.084268,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ו,ג,MARK ANTOKOLSKI,34.783677054069265,32.08426936007098
1483,75911,269,הפרדס,14, ,14 ,הפרדס 14 ,179473.4,665737.7,6215,295,0,527-75911,34.780926,32.084232,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,א,ד,HAPARDES,34.78092638909278,32.08423314276178
1484,82370,524,פייבל,11, ,11 ,פייבל 11 ,180595.36,665734.0,6108,95,0,527-82370,34.79281,32.084237,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים ב' ו- ד' 06:00 - 18:00,א,ה,PAIBEL,34.79281042118246,32.08423891138688
1485,76055,276,ויזל,14, ,14 ,ויזל 14 ,179189.1,665724.95,6215,186,0,527-76055,34.777916,32.084108,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,א,ד,WEISEL,34.77791563452012,32.08410806634013
1486,96966,1250,קוסובסקי,4, ,4 ,קוסובסקי 4 ,180777.82,667128.23,6106,571,0,527-96966,34.794687,32.096816,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים ב' ו- ד' 06:00 - 18:00,א,ה,KOSOVSKY,34.79468695875896,32.09681801014196
1487,84155,601,תוספתא,7, ,7 ,תוספתא 7 ,181176.44,667123.39,6106,301,0,527-84155,34.79891,32.096786,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ו,ה,TOSEFTA,34.79890991436776,32.09678791858239
1488,84123,600,בבלי,32, ,32 ,בבלי 32 ,181125.72,667112.64,6106,301,0,527-84123,34.798373,32.096687,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ו,ה,BAVLI,34.79837305221604,32.09668925695532
1489,84153,601,תוספתא,5, ,5 ,תוספתא 5 ,181180.52,667110.76,6106,301,0,527-84153,34.798954,32.096672,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ו,ה,TOSEFTA,34.79895361870751,32.096674207110965
1490,81787,507,סנהדרין,10, ,10 ,סנהדרין 10 ,181046.78,667080.2,6106,498,0,527-81787,34.797538,32.096392,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ו,ה,SANEHEDRIN,34.79753804059805,32.096394060999856
1491,118271,202,אוסישקין,24, ,24 ,אוסישקין 24 ,179107.75,667065.34,6963,82,0,527-118271,34.776998,32.096192,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים א' ו- ג' 06:00 - 18:00,ב,ב,USSISHKIN,34.776997693644546,32.09619242338249
1492,81783,507,סנהדרין,7, ,7 ,סנהדרין 7 ,181021.67,667063.5,6106,399,0,527-81783,34.797273,32.096241,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ו,ה,SANEHEDRIN,34.797272712741595,32.09624258234437
1493,84199,610,אונקלוס,13, ,13 ,אונקלוס 13 ,180963.83,667033.44,6106,477,0,527-84199,34.796661,32.095968,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ו,ה,ONKELOS,34.79666123455017,32.095969515358284
1494,83987,584,הזוהר,36, ,36 ,הזוהר 36 ,180825.15,667029.26,6106,452,0,527-83987,34.795192,32.095925,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,"א,ו",ה,HaZohar,34.79519230879246,32.09592715804497
1495,84196,610,אונקלוס,9, ,9 ,אונקלוס 9 ,180923.54,667022.76,6106,559,0,527-84196,34.796235,32.09587,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ו,ה,ONKELOS,34.7962348627322,32.09587190547996
1496,84193,610,אונקלוס,6, ,6 ,אונקלוס 6 ,180890.3,666989.8,6106,586,0,527-84193,34.795884,32.095572,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ו,ה,ONKELOS,34.79588403837965,32.09557346663602
1497,84191,610,אונקלוס,4, ,4 ,אונקלוס 4 ,180878.1,666987.78,6106,612,0,527-84191,34.795755,32.095553,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,"א,ו",ה,ONKELOS,34.79575484612558,32.095554873547854
1498,118267,202,אוסישקין,9, ,9 ,אוסישקין 9 ,179290.68,666979.72,6958,26,0,527-118267,34.778939,32.095426,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים א' ו- ג' 06:00 - 18:00,"ב,ו",ב,USSISHKIN,34.77893912551162,32.09542680551639
1499,83984,584,הזוהר,33, ,33 ,הזוהר 33 ,180808.15,666976.73,6106,457,0,527-83984,34.795014,32.095451,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,"א,ו",ה,HaZohar,34.79501433325956,32.095452863201984
1500,65942,25,בן יהודה,256, ,256 ,בן יהודה 256 ,178983.19,666948.34,6962,37,0,527-65942,34.775683,32.095133,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ו,ב,BEN-YEHUDA,34.77568307742113,32.09513289282433
1501,85754,689,אריסטובול,8, ,8 ,אריסטובול 8 ,180024.92,666697.75,6212,1150,0,527-85754,34.786729,32.092908,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת ברנדיס 17,ו,ג,ARISTOBOL,34.78672869521713,32.09290997515847
1502,74954,217,מלאכי,10, ,10 ,מלאכי 10 ,179124.13,666697.03,6959,87,0,527-74954,34.777187,32.092871,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים א' ו- ג' 06:00 - 18:00,ב,לא קיים פינוי,MAL'AKHI,34.7771866180614,32.0928716736164
1503,81449,500,ברנדיס,32, ,32 ,ברנדיס 32 ,180086.85,666864.23,6212,265,0,527-81449,34.787378,32.094412,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים ב' ו- ד' 06:00 - 18:00,"א,ו",ג,BRANDEIS,34.78737790175492,32.094413445518235
1504,75438,246,נחום הנביא,25, ,25 ,נחום הנביא 25 ,178872.93,666863.83,6961,21,0,527-75438,34.774519,32.094367,13/03/2026 00:44:42,"א, ג, ה",כל יום,בימים א' ו- ג' 06:00 - 18:00,ו,לא קיים פינוי,NAHUM HA'NAVI,34.774518652086186,32.094366797791196
1505,83925,582,מתתיהו כהן גדול,9, ,9 ,מתתיהו כהן גדול 9 ,179983.15,666857.39,6212,226,0,527-83925,34.78628,32.094347,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,א,ג,MATITYAHU CHOEN GADO,34.786279712938715,32.09434810917935
1506,83423,561,עמיאל,7, ,7 ,עמיאל 7 ,180429.71,666857.28,6212,715,0,527-83423,34.79101,32.094361,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת יהודה המכבי 59,"א,ו","ב,ג",AMIEL,34.79101025783684,32.094362648899626
1507,83940,583,יוחנן הגדי,6, ,6 ,יוחנן הגדי 6 ,179944.74,666850.39,6212,525,0,527-83940,34.785873,32.094282,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,"א,ו","ב,ג",YOHANAN HAGADI,34.78587307245517,32.09428364227868
1508,81605,502,יהודה המכבי,72, ,72 ,יהודה המכבי 72 ,180735.1,666849.31,6106,576,0,527-81605,34.794246,32.094299,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,"א,ו","ב,ה",YEHUDA HAMAKABI,34.79424565463644,32.09430130403567
1509,74913,214,יחזקאל,33, ,33 ,יחזקאל 33 ,179118.28,666844.06,6959,63,0,527-74913,34.777119,32.094197,13/03/2026 00:44:42,"א, ג, ה",כל יום,בימים א' ו- ג' 06:00 - 18:00,"ב,ו",ב,YECHEZKE'EL,34.77711854335487,32.09419734960922
1510,74776,209,יוחנן הורקנוס,29, ,29 ,יוחנן הורקנוס 29 ,179641.48,666842.9,6212,448,0,527-74776,34.782661,32.094204,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ב,ב,HURKANOS,34.7826609055427,32.0942054959057
1511,74696,207,ישעיהו,7, ,7 ,ישעיהו 7 ,179335.53,666835.58,6958,57,0,527-74696,34.77942,32.094128,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ב,ב,YESHA'YAHU,34.77942027038537,32.09412858209295
1512,118333,221,הושע,2, ,2 ,הושע 2 ,178766.81,666835.4,6962,206,0,527-118333,34.773396,32.094107,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים א' ו- ג' 06:00 - 18:00,ו,לא קיים פינוי,HOSHW'A,34.77339565063444,32.09410667755007
1513,83299,556,צירלסון,18, ,18 ,צירלסון 18 ,180685.06,666831.58,6106,638,0,527-83299,34.793716,32.094138,13/03/2026 00:44:42,"א, ג, ה",כל יום,בימים ב' ו- ד' 06:00 - 18:00,"א,ו","ב,ג",ZIRELSON,34.79371629526945,32.094139663587605
1514,81040,493,בובליק,5, ,5 ,בובליק 5 ,180188.96,666831.19,6212,294,0,527-81040,34.788461,32.094117,13/03/2026 00:44:42,"ב, ד, ו","ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,"א,ו","ב,ג",BUBLIK,34.788460920172845,32.09411899392313
1515,83970,584,הזוהר,20, ,20 ,הזוהר 20 ,180872.41,666825.76,6107,407,0,527-83970,34.795701,32.094092,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת הזוהר 24,א,ה,HaZohar,34.7957011009411,32.09409366625542
1516,75002,220,נחשון,7, ,7 ,נחשון 7 ,178783.21,666825.58,6962,206,0,527-75002,34.77357,32.094019,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים א' ו- ג' 06:00 - 18:00,ו,לא קיים פינוי,NAHSHON,34.773569860449584,32.09401864182209
1517,81539,502,יהודה המכבי,7, ,7 ,יהודה המכבי 7 ,179857.16,666817.86,6212,516,0,527-81539,34.784947,32.093986,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים ב' ו- ד' 06:00 - 18:00,"א,ו","ב,ג",YEHUDA HAMAKABI,34.78494667773905,32.0939872157026
1518,83920,582,מתתיהו כהן גדול,4, ,4 ,מתתיהו כהן גדול 4 ,180006.33,666817.84,6212,250,0,527-83920,34.786527,32.093991,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,"א,ו","ב,ג",MATITYAHU CHOEN GADO,34.78652688413471,32.09399229741638
1519,74904,214,יחזקאל,24, ,24 ,יחזקאל 24 ,179198.64,666810.72,6959,39,0,527-74904,34.777971,32.093899,13/03/2026 00:44:42,"א, ג, ה",כל יום,בימים א' ו- ג' 06:00 - 18:00,ב,ב,YECHEZKE'EL,34.77797120322065,32.09389953416205
1520,81580,502,יהודה המכבי,45, ,45 ,יהודה המכבי 45 ,180237.71,666809.06,6212,173,0,527-81580,34.788978,32.093919,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,"א,ו","ב,ג",YEHUDA HAMAKABI,34.78897824180308,32.09392117134024
1521,81554,502,יהודה המכבי,22, ,22 ,יהודה המכבי 22 ,180180.08,666779.17,6212,308,0,527-81554,34.788369,32.093648,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,"א,ו","ב,ג",YEHUDA HAMAKABI,34.78836903119796,32.093649622935345
1522,73323,190,יהושע בן נון,70, ,70 ,יהושע בן נון 70 ,179545.54,666682.4,6958,154,0,527-73323,34.781651,32.092754,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים א' ו- ג' 06:00 - 18:00,ב,ב,YEHOSHU'A BEN NUN,34.781651284809115,32.09275476416694
1523,130604,214,יחזקאל,8, ,8 ,יחזקאל 8 ,179173.63,666681.56,6959,119,0,527-130604,34.777712,32.092734,13/03/2026 00:44:42,"א, ג, ה",כל יום,בימים א' ו- ג' 06:00 - 18:00,"ב,ו",ב,YECHEZKE'EL,34.77771170480275,32.09273394791834
1524,83286,556,צירלסון,4, ,4 ,צירלסון 4 ,180716.18,666677.3,6107,237,0,527-83286,34.794052,32.092748,13/03/2026 00:44:42,"א, ג, ה","ב, ה",בימים ב' ו- ד' 06:00 - 18:00,א,ג,ZIRELSON,34.79405214525641,32.0927494646815
1525,74055,196,סוקולוב,83, ,83 ,סוקולוב 83 ,179218.76,666675.89,6959,54,0,527-74055,34.77819,32.092684,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,"ב,ו",ב,SOKOLOV,34.77818995277559,32.09268441037019
1526,81873,510,מרשל לואי,17, ,17 ,מרשל לואי 17 ,179992.07,666659.42,6212,638,0,527-81873,34.786382,32.092562,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,"א,ו",ג,LOUIS MARSHAL,34.78638235360216,32.092563194545804
1527,74853,212,אלכסנדר ינאי,8, ,8 ,אלכסנדר ינאי 8 ,179621.9,666658.73,6212,406,0,527-74853,34.782461,32.092543,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים א' ו- ג' 06:00 - 18:00,ב,ב,ALEXANDER YANA'I,34.782461144003626,32.092543995249116
1528,81871,510,מרשל לואי,15, ,15 ,מרשל לואי 15 ,179976.56,666651.67,6212,562,0,527-81871,34.786218,32.092491,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,"א,ו",ג,LOUIS MARSHAL,34.786218314839516,32.092492764761175
1529,81817,508,דה האז,20, ,20 ,דה האז 20 ,179918.21,666651.17,6212,593,0,527-81817,34.7856,32.092485,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,"א,ו",ג,DE-HAAS,34.78560021610037,32.09248621398337
1530,74290,199,ירמיהו הנביא,9, ,9 ,ירמיהו הנביא 9 ,178929.06,666944.72,6962,57,0,527-74290,34.77511,32.095098,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים א' ו- ג' 06:00 - 18:00,ו,ב,Yirmeyahu HaNavi,34.77510978508169,32.09509826162522
1531,88197,800,נמיר מרדכי,125, ,125 ,נמיר מרדכי 125 ,180720.2,666941.87,6106,314,0,527-88197,34.794084,32.095134,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,א,ה,NAMIR,34.79408401889355,32.0951354970552
1532,97003,1251,הרצוג,5, ,5 ,הרצוג 5 ,180880.92,666937.64,6106,277,0,527-97003,34.795787,32.095101,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,"א,ו","ב,ה",HERZOG,34.79578681793609,32.09510281583244
1533,80993,491,שלומציון המלכה,47, ,47 ,שלומציון המלכה 47 ,180128.88,666936.05,6212,213,0,527-80993,34.78782,32.095061,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים ב' ו- ד' 06:00 - 18:00,"א,ו",ג,SHLOMTZION,34.78782020954948,32.09506249555646
1534,74329,199,ירמיהו הנביא,50, ,50 ,ירמיהו הנביא 50 ,179205.34,666919.89,6959,10,0,527-74329,34.778038,32.094884,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים א' ו- ג' 06:00 - 18:00,"ב,ו",ב,Yirmeyahu HaNavi,34.77803755526794,32.094884253438146
1535,74302,199,ירמיהו הנביא,21, ,21 ,ירמיהו הנביא 21 ,179024.02,666921.9,6962,32,0,527-74302,34.776117,32.094896,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים א' ו- ג' 06:00 - 18:00,ו,ב,Yirmeyahu HaNavi,34.77611669422252,32.09489595018778
1536,74295,199,ירמיהו הנביא,14, ,14 ,ירמיהו הנביא 14 ,178911.85,666915.03,6961,7,0,527-74295,34.774929,32.09483,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים א' ו- ג' 06:00 - 18:00,ו,ב,Yirmeyahu HaNavi,34.77492871628612,32.09482993049993
1537,74324,199,ירמיהו הנביא,44, ,44 ,ירמיהו הנביא 44 ,179168.32,666913.62,6959,7,0,527-74324,34.777646,32.094826,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים א' ו- ג' 06:00 - 18:00,"ב,ו",ב,Yirmeyahu HaNavi,34.777645701366524,32.09482643082057
1538,131079,554,ועידת קטוביץ,40, ,40 ,ועידת קטוביץ 40 ,180563.58,666899.48,6212,1063,0,527-131079,34.792427,32.094746,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים ב' ו- ד' 06:00 - 18:00,א,ג,VE'IDAT KATOWITZ,34.792426636997696,32.09474784457859
1539,83434,561,עמיאל,18, ,18 ,עמיאל 18 ,180447.17,666896.45,6212,736,0,527-83434,34.791194,32.094715,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת ניסנבוים 6,א,לא קיים פינוי,AMIEL,34.79119355371577,32.094716493526555
1540,130620,221,הושע,10, ,10 ,הושע 10 ,178781.24,666894.0,6962,92,0,527-130620,34.773546,32.094636,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים א' ו- ג' 06:00 - 18:00,ו,לא קיים פינוי,HOSHW'A,34.7735461098145,32.09463557940006
1541,81546,502,יהודה המכבי,14, ,14 ,יהודה המכבי 14 ,180011.47,666778.98,6212,545,0,527-81546,34.786583,32.093641,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים ב' ו- ד' 06:00 - 18:00,"א,ו","ב,ג",YEHUDA HAMAKABI,34.78658293435469,32.09364205380867
1542,118222,198,עמוס,5, ,5 ,עמוס 5 ,179294.17,666768.95,6957,280,0,527-118222,34.778985,32.093526,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ו",בימים א' ו- ג' 06:00 - 18:00,ב,ב,AMOS,34.77898492749159,32.09352630646039
1543,79227,411,מודיעין,6, ,6 ,מודיעין 6 ,179464.85,666768.65,6958,20,0,527-79227,34.780793,32.093529,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת יוחנן הורקנוס 10,ב,ב,MODI'IN,34.78079288761779,32.093529687569
1544,65934,25,בן יהודה,240, ,240 ,בן יהודה 240 ,178934.58,666761.28,6961,73,0,527-65934,34.775176,32.093444,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,"ב,ו",ב,BEN-YEHUDA,34.77517603054243,32.093444274278525
1545,81519,501,בודנהיימר,42, ,42 ,בודנהיימר 42 ,180225.67,666759.2,6212,99,0,527-81519,34.788853,32.093469,13/03/2026 00:44:42,"א, ג, ה",כל יום,בימים ב' ו- ד' 06:00 - 18:00,"א,ו","ב,ג",BODENHEIMER,34.78885282831514,32.09347113594334
1546,74865,212,אלכסנדר ינאי,20, ,20 ,אלכסנדר ינאי 20 ,179637.86,666759.03,6212,412,0,527-74865,34.782626,32.093448,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים א' ו- ג' 06:00 - 18:00,ב,ב,ALEXANDER YANA'I,34.78262606388448,32.0934490073798
1547,119189,508,דה האז,3,א,3א,דה האז 3א,179888.99,666745.72,6212,539,0,527-119189,34.785287,32.093336,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,"א,ו","ב,ג",DE-HAAS,34.78528680869011,32.09333778792703
1548,88180,800,נמיר מרדכי,108, ,108 ,נמיר מרדכי 108 ,180809.55,666745.25,6107,518,0,527-88180,34.795039,32.093364,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,א,ה,NAMIR,34.79503845676302,32.09336544732124
1549,130936,501,בודנהיימר,38, ,38 ,בודנהיימר 38 ,180224.31,666736.34,6212,332,0,527-130936,34.788839,32.093263,13/03/2026 00:44:42,"א, ג, ה",כל יום,בימים ב' ו- ד' 06:00 - 18:00,,"ב,ג",BODENHEIMER,34.78883927850491,32.093264948671056
1550,73063,187,דיזנגוף,253, ,253 ,דיזנגוף 253 ,179043.67,666736.19,6961,94,0,527-73063,34.776333,32.093222,13/03/2026 00:44:42,כל השבוע,"ב, ד, ו",בימים א' ו- ג' 06:00 - 18:00,"ב,ו",ב,MEIR DIZENGOFF,34.77633264463463,32.09322189659473
1551,74238,198,עמוס,10, ,10 ,עמוס 10 ,179314.36,666727.65,6957,42,0,527-74238,34.779201,32.093154,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ו",בימים א' ו- ג' 06:00 - 18:00,ב,לא קיים פינוי,AMOS,34.77920049995713,32.09315462082071
1552,74861,212,אלכסנדר ינאי,16, ,16 ,אלכסנדר ינאי 16 ,179635.4,666727.33,6212,410,0,527-74861,34.782601,32.093162,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים א' ו- ג' 06:00 - 18:00,ב,ב,ALEXANDER YANA'I,34.782601307757275,32.093163030995335
