oid_ktovet,id_ktovet,k_rechov,t_rechov,ms_bayit,knisa,t_bayit_veknisa,t_ktovet_melea,x,y,ms_gush,ms_chelka,k_status_hesder,UniqueId,lon,lat,date_import,garbage,cleaning,gezem,recycle_blue,recycle_orange,t_rechov_eng,Longitude,Latitude
48867,213945,3008,ארליך,1,א,1א,ארליך 1א,176826.85,661601.84,7023,115,0,527-213945,34.753077,32.046846,13/03/2026 00:44:42,,,בימים א' ו- ג' 06:00 - 18:00,ד,ה,DR. EHRLICH,34.75307724314868,32.04684030565521
48868,213946,4207,מקראי קדש,19,ב,19ב,מקראי קדש 19ב,181314.85,661825.6,7423,8,0,527-213946,34.800586,32.049017,13/03/2026 00:44:42,,,בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,MIQRAE QODESH,34.80058620069949,32.04901838130267
48869,56252,2224,משל ירוחם,5, ,5 ,משל ירוחם 5 ,181389.53,667837.13,6647,7,0,527-56252,34.801139,32.10323,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,MESHEL YERUHAM,34.801139004191164,32.10323147858714
48870,212466,2437,2437,14,,14,2437 14,179943.39,668068.54,6634,243,0,527-212466,34.785809,32.105267,13/03/2026 00:44:42,כל השבוע,"ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,,34.78580867269934,32.10526852217858
48871,213956,3743,סלסלה,13,ב,13ב,סלסלה 13ב,176661.15,661511.06,9014,8,0,527-213956,34.751327,32.046022,13/03/2026 00:44:42,,,בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,SALSILA,34.75132694524968,32.04601540830946
48872,78356,384,"הגר""א",15, ,15 ,"הגר""א 15 ",179473.73,663108.11,6894,64,0,527-78356,34.781039,32.060519,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,א,HAGHARA,34.78103918084228,32.060520168034046
48873,111995,3752,אהלי יעקב,9, ,9 ,אהלי יעקב 9 ,177750.57,661077.99,6992,38,0,527-111995,34.76288,32.042154,13/03/2026 00:44:42,כל השבוע,"א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,ד,לא קיים פינוי,OHOLE YA'AQOV,34.762880055020794,32.04215079651832
48874,214331,3205,שפתי ישנים,9,א,9א,שפתי ישנים 9א,176175.46,660334.71,7043,31,0,527-214331,34.746237,32.035397,13/03/2026 00:44:42,,,בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,SIFTEY YESHENIM,34.74623743621872,32.03538890854195
48875,214335,2442,בתיה (לישנסקי),11,,11,בתיה (לישנסקי) 11,179870.93,668683.67,6885,54,0,527-214335,34.785016,32.110812,13/03/2026 00:44:42,,,בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,Batya,34.78501568319164,32.110813048981726
48876,100373,2215,גרינברג אורי צבי,5,א,5א,גרינברג אורי צבי 5א,180790.67,670708.68,6620,20,0,527-100373,34.79468,32.129104,13/03/2026 00:44:42,כל השבוע,"א, ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ב,ה,GREENBERG,34.7946788625666,32.12910589472871
